Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Aceh,Aceh Utara,2020,375394.0,92.55,70.95,186.0,17017.45,8122.0,,75.83,8.63,68.8
Aceh,Aceh Utara,2021,392412.0,92.75,71.08,188.0,16919.1,8201.0,17.43,79.97,8.64,68.81
Aceh,Aceh Utara,2022,420615.0,92.85,71.85,190.0,17702.78,8620.0,16.86,78.92,8.73,69.01
Aceh,Aceh Utara,2023,454361.0,93.3,72.5,193.0,17810.96,8970.0,16.64,77.95,8.85,69.15
Aceh,Aceh Utara,2024,473719.0,93.36,73.35,195.0,18445.79,9374.0,,80.63,,69.28
Aceh,Bener Meriah,2020,457916.0,96.6,74.54,111.0,3629.87,11098.0,18.89,84.12,9.79,69.22
Aceh,Bener Meriah,2021,476074.0,96.63,74.84,113.0,,11118.0,19.16,86.69,10.0,69.26
Aceh,Bener Meriah,2022,512111.0,96.79,75.46,116.0,3882.43,11421.0,18.39,81.56,,69.48
Aceh,Bener Meriah,2023,551868.0,96.76,76.06,116.0,4085.23,11855.0,18.31,87.04,,69.64
Aceh,Bener Meriah,2024,591421.0,96.73,76.58,118.0,4218.99,12360.0,18.18,88.05,10.13,69.79
Aceh,Bireuen,2020,410203.0,94.91,73.22,230.0,9962.58,8857.0,,84.16,9.28,71.22
Aceh,Bireuen,2021,422685.0,94.93,73.27,231.0,10374.48,8867.0,13.25,81.89,9.29,71.26
Aceh,Bireuen,2022,451163.0,95.01,74.1,233.0,10821.13,9438.0,12.51,85.39,9.31,71.48
Aceh,Bireuen,2023,486667.0,95.08,74.56,238.0,11295.38,9758.0,,84.96,9.32,71.66
Aceh,Bireuen,2024,494866.0,95.09,75.39,241.0,11806.49,10150.0,,88.26,9.59,71.83
Aceh,Gayo Lues,2020,425529.0,88.91,69.06,17.0,1936.87,8791.0,19.32,43.32,,65.47
Aceh,Gayo Lues,2021,438689.0,89.34,69.42,18.0,1981.88,8856.0,19.64,47.63,,65.53
Aceh,Gayo Lues,2022,470221.0,89.48,70.12,18.0,2051.53,9094.0,18.87,46.33,8.41,65.77
Aceh,Gayo Lues,2023,514836.0,89.63,70.82,18.0,,9407.0,18.82,46.05,8.42,65.92
Aceh,Gayo Lues,2024,557201.0,90.08,71.75,19.0,2202.73,9967.0,,49.79,8.44,66.03
Aceh,Kota Banda Aceh,2020,674977.0,95.26,87.06,4122.0,14644.29,16778.0,,99.41,12.65,71.45
Aceh,Kota Banda Aceh,2021,698617.0,95.54,87.36,4156.0,15449.97,16891.0,7.61,99.88,12.83,71.52
Aceh,Kota Banda Aceh,2022,737016.0,95.91,87.92,4199.0,16257.93,17228.0,7.13,96.88,,71.79
Aceh,Kota Banda Aceh,2023,814530.0,96.19,88.32,4269.0,17079.85,17521.0,,99.91,,72.02
Aceh,Kota Banda Aceh,2024,862944.0,96.18,88.85,4319.0,18117.78,18100.0,6.95,99.39,,72.17
Aceh,Kota Langsa,2020,407421.0,95.61,79.3,709.0,3813.19,12057.0,10.44,91.57,,69.42
Aceh,Kota Langsa,2021,435438.0,95.41,79.58,720.0,3962.71,12067.0,10.96,91.81,,69.43
Aceh,Kota Langsa,2022,469348.0,95.56,79.96,734.0,4151.97,12353.0,10.62,91.92,11.14,69.63
Aceh,Kota Langsa,2023,512319.0,95.77,80.5,742.0,4326.98,12678.0,10.53,92.92,11.27,69.78
Aceh,Kota Langsa,2024,546363.0,95.88,80.96,754.0,4518.85,13133.0,10.33,94.3,11.28,69.92
Aceh,Kota Lhokseumawe,2020,401158.0,94.9,78.65,1042.0,6984.71,11367.0,,88.07,10.91,71.6
Aceh,Kota Lhokseumawe,2021,427045.0,95.06,78.92,1049.0,,11390.0,11.16,93.1,,71.64
Aceh,Kota Lhokseumawe,2022,460583.0,95.06,79.38,1057.0,7543.74,11701.0,10.84,90.27,,71.87
Aceh,Kota Lhokseumawe,2023,498431.0,95.73,80.26,1090.0,,12125.0,10.73,90.36,11.27,72.06
Aceh,Kota Lhokseumawe,2024,522671.0,95.73,80.89,1107.0,8211.43,12694.0,10.44,93.71,11.31,72.25
Aceh,Kota Sabang,2020,599381.0,95.81,76.96,269.0,1122.89,11273.0,14.94,89.2,11.14,70.51
Aceh,Kota Sabang,2021,620373.0,95.6,77.29,275.0,1152.87,11378.0,15.32,92.25,11.18,70.56
Aceh,Kota Sabang,2022,660573.0,95.6,78.03,282.0,1181.91,11780.0,14.66,89.52,11.19,70.79
Aceh,Kota Sabang,2023,715446.0,95.64,78.7,280.0,1217.54,12137.0,14.59,93.96,,70.98
Aceh,Kota Sabang,2024,725956.0,95.74,79.5,284.0,1268.22,12625.0,14.58,95.9,11.22,71.17
Aceh,Kota Subulussalam,2020,400517.0,85.06,67.39,65.0,1385.41,7317.0,,73.54,7.84,64.02
Aceh,Kota Subulussalam,2021,418643.0,85.25,67.75,67.0,1439.0,7385.0,17.65,69.71,,64.07
Aceh,Kota Subulussalam,2022,444818.0,85.26,68.72,68.0,1498.3,7689.0,16.0,72.46,8.22,64.3
Aceh,Kota Subulussalam,2023,487777.0,85.36,69.66,70.0,1559.06,8065.0,16.41,63.4,8.32,64.41
Aceh,Kota Subulussalam,2024,504372.0,85.88,70.64,71.0,1623.25,8491.0,16.38,61.57,8.43,64.51
Aceh,Nagan Raya,2020,493121.0,90.31,70.54,50.0,6749.95,8216.0,,80.35,8.68,69.22
Aceh,Nagan Raya,2021,508801.0,90.37,70.67,51.0,7110.42,8292.0,18.23,74.86,8.69,69.24
Aceh,Nagan Raya,2022,544300.0,90.82,71.46,52.0,7278.93,8581.0,17.38,79.97,8.95,69.45
Aceh,Nagan Raya,2023,594374.0,91.02,72.15,52.0,,9062.0,17.25,82.72,8.96,69.6
Aceh,Nagan Raya,2024,635820.0,91.32,73.1,52.0,8095.62,9523.0,16.94,87.32,9.25,69.75
Aceh,Pidie,2020,493145.0,93.58,71.92,141.0,7770.64,9816.0,19.23,63.54,8.99,66.94
Aceh,Pidie,2021,504452.0,93.61,71.99,142.0,,9860.0,19.59,54.1,9.0,66.95
Aceh,Pidie,2022,535713.0,93.81,72.49,144.0,8292.69,10211.0,18.79,54.68,,67.15
Aceh,Pidie,2023,579450.0,93.92,72.95,145.0,8619.88,10584.0,18.78,60.36,,67.29
Aceh,Pidie,2024,607117.0,93.98,73.6,147.0,8977.21,11187.0,18.59,63.88,,67.41
Aceh,Pidie Jaya,2020,481308.0,94.92,74.44,148.0,2583.13,10071.0,19.19,66.39,9.33,70.14
Aceh,Pidie Jaya,2021,495254.0,94.88,74.84,149.0,2635.52,10290.0,19.55,74.3,9.34,70.18
Aceh,Pidie Jaya,2022,523239.0,94.99,75.59,152.0,2729.56,10701.0,18.45,73.49,9.53,70.41
Aceh,Pidie Jaya,2023,572452.0,95.27,76.04,153.0,2845.17,11005.0,,78.07,9.58,70.6
Aceh,Pidie Jaya,2024,599755.0,95.28,76.39,155.0,2974.56,11274.0,18.28,80.82,9.59,70.77
Aceh,Simeulue,2020,444754.0,77.97,67.9,45.0,1602.41,7085.0,18.49,66.51,9.34,65.26
Aceh,Simeulue,2021,458896.0,78.27,68.29,46.0,1648.1,7148.0,18.98,71.56,9.48,65.28
Aceh,Simeulue,2022,493303.0,78.87,69.17,46.0,1707.71,7371.0,18.37,70.21,9.73,65.48
Aceh,Simeulue,2023,538693.0,79.41,69.98,47.0,1806.62,7686.0,17.92,72.67,9.81,65.61
Aceh,Simeulue,2024,576505.0,79.78,70.95,48.0,1886.61,8106.0,17.69,76.51,9.89,65.73
Bali,Badung,2020,587737.0,95.51,81.6,1310.0,31147.82,17503.0,,98.88,10.39,75.1
Bali,Badung,2021,613993.0,95.53,81.84,1312.0,29049.52,17327.0,2.62,99.59,10.62,75.18
Bali,Badung,2022,633769.0,95.65,82.13,1313.0,31946.05,17445.0,2.53,97.5,10.64,75.51
Bali,Badung,2023,688018.0,95.94,83.0,1413.0,35554.32,17915.0,,98.98,,75.88
Bali,Badung,2024,737800.0,96.16,83.73,1426.0,37667.34,18556.0,2.23,99.3,11.14,76.18
Bali,Bangli,2020,346458.0,91.54,70.6,527.0,4399.19,11268.0,4.19,90.53,7.17,70.52
Bali,Bangli,2021,370732.0,91.58,70.6,535.0,4384.73,11201.0,,87.01,7.18,70.62
Bali,Bangli,2022,401650.0,91.86,71.47,544.0,4507.38,11424.0,5.28,92.41,7.47,70.97
Bali,Bangli,2023,436928.0,92.23,71.99,496.0,,11670.0,5.28,91.58,7.57,71.33
Bali,Bangli,2024,465572.0,92.58,72.51,498.0,4876.68,12148.0,,92.49,7.58,71.63
Bali,Buleleng,2020,424602.0,91.59,73.6,580.0,22066.16,13463.0,5.32,91.71,7.24,71.83
Bali,Buleleng,2021,461018.0,91.65,73.6,591.0,21785.73,13362.0,,94.15,7.25,71.95
Bali,Buleleng,2022,496390.0,91.85,74.48,605.0,22463.38,13529.0,6.21,92.41,7.56,72.32
Bali,Buleleng,2023,537262.0,91.99,74.87,612.0,23281.43,13987.0,5.85,90.99,7.57,72.7
Bali,Buleleng,2024,570129.0,92.24,75.35,616.0,24453.82,14377.0,5.39,93.79,7.69,72.92
Bali,Gianyar,2020,400079.0,94.63,77.88,1400.0,17442.44,14544.0,,97.98,,73.68
Bali,Gianyar,2021,407945.0,94.7,78.21,1412.0,17258.77,14391.0,4.85,93.48,9.29,73.78
Bali,Gianyar,2022,434163.0,94.72,78.87,1424.0,17956.69,14630.0,,99.95,9.55,74.13
Bali,Gianyar,2023,468307.0,95.09,79.69,1438.0,18865.02,15047.0,4.47,99.0,,74.52
Bali,Gianyar,2024,500797.0,95.14,80.23,1447.0,19896.35,15577.0,4.0,99.52,9.84,74.86
Bali,Jembrana,2020,403462.0,93.38,73.18,377.0,8951.35,11790.0,4.51,93.03,8.23,72.35
Bali,Jembrana,2021,434839.0,93.86,73.57,382.0,,11675.0,,96.24,8.35,72.46
Bali,Jembrana,2022,458214.0,94.43,74.38,389.0,9157.67,11915.0,,95.2,8.64,72.82
Bali,Jembrana,2023,496435.0,94.52,74.8,381.0,9492.38,12236.0,4.96,96.05,8.65,73.2
Bali,Jembrana,2024,531164.0,94.9,75.32,383.0,9965.23,12638.0,4.51,96.13,,73.51
Bali,Karang Asem,2020,330441.0,88.93,68.5,587.0,10630.37,10237.0,5.91,85.44,6.32,70.47
Bali,Karang Asem,2021,354123.0,88.96,68.58,597.0,10570.6,10175.0,6.78,87.36,6.33,70.56
Bali,Karang Asem,2022,376229.0,89.9,69.48,609.0,10843.41,10278.0,6.98,90.24,6.67,70.89
Bali,Karang Asem,2023,404083.0,90.17,70.09,596.0,11179.22,10753.0,6.56,90.55,6.68,71.25
Bali,Karang Asem,2024,432414.0,90.67,70.91,599.0,11663.31,11176.0,6.52,91.31,,71.53
Bali,Klungkung,2020,318139.0,91.12,72.97,657.0,5608.69,11376.0,4.87,94.44,8.13,71.25
Bali,Klungkung,2021,342043.0,91.18,72.98,667.0,5595.88,11287.0,5.64,95.91,8.14,71.41
