Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Jawa Tengah,Karanganyar,2024,491551.0,97.16,78.11,1253.0,31883.1,12732.0,9.59,98.54,9.26,77.91
Jawa Tengah,Kebumen,2020,380557.0,93.05,70.32,1114.0,19527.66,8901.0,17.59,91.95,13.34,73.4
Jawa Tengah,Kebumen,2021,390599.0,93.06,70.56,1124.0,20253.06,9028.0,17.83,88.99,13.35,73.55
Jawa Tengah,Kebumen,2022,416004.0,93.26,71.29,1073.0,21425.79,9282.0,16.41,93.49,7.85,73.7
Jawa Tengah,Kebumen,2023,451678.0,93.37,71.88,1048.0,22638.9,9734.0,16.34,93.68,7.86,73.83
Jawa Tengah,Kebumen,2024,471824.0,93.41,72.48,1060.0,23837.83,10176.0,15.71,93.82,7.87,73.96
Jawa Tengah,Kendal,2020,396691.0,93.19,72.29,911.0,30449.02,11425.0,9.99,85.37,12.95,74.43
Jawa Tengah,Kendal,2021,407387.0,93.3,72.5,917.0,31632.28,11608.0,10.24,83.81,12.96,74.48
Jawa Tengah,Kendal,2022,433864.0,93.79,73.19,1031.0,33428.96,11999.0,9.48,82.65,7.71,74.53
Jawa Tengah,Kendal,2023,465936.0,94.29,73.86,1050.0,35287.7,12755.0,9.39,78.33,7.73,74.58
Jawa Tengah,Kendal,2024,488940.0,94.34,74.34,1062.0,37201.45,13277.0,9.35,83.05,7.74,74.73
Jawa Tengah,Klaten,2020,419510.0,96.17,75.56,1915.0,27480.36,11921.0,12.89,94.68,13.25,76.78
Jawa Tengah,Klaten,2021,436896.0,96.0,76.12,1925.0,28531.11,12017.0,13.49,95.37,13.39,76.86
Jawa Tengah,Klaten,2022,458872.0,96.11,76.95,1946.0,30214.98,12522.0,12.33,95.0,,76.95
Jawa Tengah,Klaten,2023,488102.0,95.79,77.59,1834.0,31938.33,12968.0,12.28,97.16,9.27,77.07
Jawa Tengah,Klaten,2024,505826.0,95.9,78.16,1846.0,33568.92,13513.0,,97.83,9.29,77.3
Jawa Tengah,Kota Magelang,2020,522099.0,95.27,78.99,7567.0,,12210.0,7.58,85.87,14.14,76.85
Jawa Tengah,Kota Magelang,2021,537783.0,95.54,79.43,7572.0,6513.89,12349.0,7.75,84.04,14.15,76.93
Jawa Tengah,Kota Magelang,2022,575130.0,95.91,80.39,6715.0,6889.45,12816.0,,82.27,10.94,77.02
Jawa Tengah,Kota Magelang,2023,602794.0,96.43,81.17,6585.0,7264.92,13175.0,,84.93,,77.22
Jawa Tengah,Kota Magelang,2024,626614.0,96.73,82.15,6600.0,7668.79,13619.0,5.94,93.82,11.43,77.53
Jawa Tengah,Kota Pekalongan,2020,460789.0,95.17,74.98,6788.0,7337.83,12467.0,7.17,88.49,12.84,74.38
Jawa Tengah,Kota Pekalongan,2021,480415.0,95.42,75.4,6813.0,7601.49,12598.0,7.59,94.62,12.85,74.44
Jawa Tengah,Kota Pekalongan,2022,513243.0,95.32,75.9,6889.0,8039.47,13158.0,7.0,86.82,,74.51
Jawa Tengah,Kota Pekalongan,2023,565998.0,95.65,76.71,7017.0,8476.55,14056.0,6.81,90.69,9.29,74.6
Jawa Tengah,Kota Pekalongan,2024,605312.0,95.56,77.21,7096.0,,14547.0,6.71,95.38,9.34,74.8
Jawa Tengah,Kota Salatiga,2020,454154.0,95.18,83.14,3353.0,9503.71,15699.0,4.94,94.61,15.41,77.4
Jawa Tengah,Kota Salatiga,2021,480903.0,95.37,83.6,3374.0,9822.0,15843.0,5.14,98.07,15.42,77.55
Jawa Tengah,Kota Salatiga,2022,518815.0,95.44,84.35,3683.0,10365.44,16351.0,4.73,97.72,10.95,77.72
Jawa Tengah,Kota Salatiga,2023,565031.0,95.45,84.99,3618.0,10918.73,16650.0,4.66,98.15,11.24,77.93
Jawa Tengah,Kota Salatiga,2024,596659.0,95.59,85.72,3661.0,11505.05,17096.0,4.57,95.28,11.48,78.26
Jawa Tengah,Kota Semarang,2020,522691.0,95.49,83.05,4424.0,137602.0,15243.0,4.34,93.96,15.52,77.34
Jawa Tengah,Kota Semarang,2021,543929.0,95.67,83.55,4432.0,144704.6,15425.0,4.56,93.67,15.53,77.51
Jawa Tengah,Kota Semarang,2022,589598.0,95.93,84.08,4442.0,152995.4,16047.0,4.25,92.45,,77.69
Jawa Tengah,Kota Semarang,2023,642456.0,95.96,84.43,4534.0,161848.3,16420.0,4.23,95.31,10.81,77.9
Jawa Tengah,Kota Semarang,2024,671936.0,96.37,85.24,4572.0,170947.7,16990.0,,95.88,,78.24
Jawa Tengah,Kota Surakarta,2020,487445.0,96.84,82.21,11353.0,34815.97,14761.0,,90.03,14.87,77.22
Jawa Tengah,Kota Surakarta,2021,511216.0,96.89,82.62,11361.0,36211.25,14911.0,,88.73,14.88,77.32
Jawa Tengah,Kota Surakarta,2022,538441.0,96.84,83.08,11878.0,38475.99,15463.0,8.84,87.49,10.92,77.43
Jawa Tengah,Kota Surakarta,2023,600953.0,97.15,83.54,11258.0,40620.31,15870.0,8.44,89.97,11.0,77.63
Jawa Tengah,Kota Surakarta,2024,638102.0,97.54,84.41,11283.0,42897.32,16291.0,8.31,86.07,11.25,77.9
Jawa Tengah,Kota Tegal,2020,502031.0,93.18,75.14,6901.0,10949.12,12999.0,,91.19,,74.46
Jawa Tengah,Kota Tegal,2021,523413.0,93.26,75.59,6950.0,11290.27,13143.0,,92.77,,74.54
Jawa Tengah,Kota Tegal,2022,565826.0,93.39,76.21,8069.0,11873.2,13455.0,7.91,93.58,9.0,74.64
Jawa Tengah,Kota Tegal,2023,623617.0,93.64,77.06,7123.0,12468.61,14013.0,7.68,94.12,9.24,74.77
Jawa Tengah,Kota Tegal,2024,664922.0,93.95,77.5,7200.0,13119.7,14358.0,7.64,92.48,9.28,74.87
Jawa Tengah,Kudus,2020,429666.0,92.75,75.0,1997.0,70964.73,11160.0,7.31,91.81,13.23,76.6
Jawa Tengah,Kudus,2021,450992.0,92.96,75.16,2005.0,69872.18,11272.0,,93.8,13.24,76.68
Jawa Tengah,Kudus,2022,482806.0,93.56,75.89,2014.0,71416.93,11609.0,7.41,92.78,,76.76
Jawa Tengah,Kudus,2023,520830.0,93.83,76.71,2057.0,72980.27,12088.0,7.24,92.12,9.34,76.86
Jawa Tengah,Kudus,2024,550075.0,94.01,77.21,2077.0,75010.79,12533.0,7.23,96.09,9.35,77.08
Jawa Tengah,Magelang,2020,342430.0,91.81,69.98,1179.0,22865.15,9301.0,11.27,76.91,12.54,73.72
Jawa Tengah,Magelang,2021,353608.0,91.89,70.23,1184.0,23661.71,9440.0,11.91,78.4,12.55,73.88
Jawa Tengah,Magelang,2022,377497.0,92.21,70.96,1209.0,24953.18,10011.0,,80.49,7.81,74.03
Jawa Tengah,Magelang,2023,411129.0,92.49,71.56,1226.0,26211.56,10493.0,10.96,85.14,7.82,74.2
Jawa Tengah,Magelang,2024,431289.0,92.56,72.1,1236.0,27538.21,10926.0,10.83,73.77,7.83,74.45
Jawa Tengah,Pati,2020,445913.0,91.5,71.77,889.0,30527.47,10390.0,,92.17,12.65,76.22
Jawa Tengah,Pati,2021,458616.0,92.21,72.28,894.0,31559.08,10506.0,10.21,91.67,12.94,76.27
Jawa Tengah,Pati,2022,486855.0,92.42,73.14,898.0,33312.38,10948.0,9.33,93.8,7.79,76.32
Jawa Tengah,Pati,2023,532545.0,92.49,73.59,864.0,34984.79,11385.0,9.31,95.8,,76.39
Jawa Tengah,Pati,2024,559499.0,92.55,74.1,871.0,36780.74,11829.0,9.17,95.03,7.82,76.56
Jawa Tengah,Pekalongan,2020,403662.0,92.48,69.64,1157.0,16047.51,10312.0,10.19,76.85,12.41,73.69
Jawa Tengah,Pekalongan,2021,416779.0,92.56,70.11,1167.0,16615.07,10409.0,10.57,78.57,12.42,73.74
Jawa Tengah,Pekalongan,2022,441765.0,92.72,70.81,1180.0,17463.42,10707.0,9.67,77.8,7.46,73.8
Jawa Tengah,Pekalongan,2023,480934.0,92.83,71.45,1205.0,18360.81,11297.0,9.67,83.47,7.47,73.87
Jawa Tengah,Pekalongan,2024,505520.0,92.96,71.95,1219.0,19283.06,11701.0,8.95,87.22,7.48,74.0
Jawa Tengah,Pemalang,2020,389209.0,85.83,66.4,1316.0,18155.6,8461.0,,77.64,11.95,73.4
Jawa Tengah,Pemalang,2021,401857.0,86.49,66.64,1328.0,18933.19,8573.0,16.56,77.89,11.96,73.53
Jawa Tengah,Pemalang,2022,429549.0,86.72,67.26,1483.0,19895.24,8994.0,,77.69,,73.65
Jawa Tengah,Pemalang,2023,467204.0,87.14,68.08,1366.0,20719.54,9587.0,,80.73,6.55,73.85
Jawa Tengah,Pemalang,2024,493593.0,87.37,68.65,1382.0,21778.06,10017.0,14.92,84.32,6.56,73.99
Jawa Tengah,Purbalingga,2020,375199.0,92.78,69.23,1474.0,17182.87,9914.0,,81.24,11.99,73.14
Jawa Tengah,Purbalingga,2021,384183.0,93.08,69.41,1487.0,17731.44,10032.0,16.24,76.33,12.0,73.21
Jawa Tengah,Purbalingga,2022,407849.0,93.21,69.8,1311.0,18690.73,10277.0,,78.56,7.33,73.28
Jawa Tengah,Purbalingga,2023,439208.0,93.51,70.51,1321.0,19533.86,10964.0,14.99,77.19,7.34,73.37
Jawa Tengah,Purbalingga,2024,460870.0,93.74,70.97,1334.0,20422.61,11343.0,14.18,77.19,7.36,73.56
Jawa Tengah,Purworejo,2020,364289.0,94.96,72.76,705.0,13138.29,10163.0,11.78,83.79,,74.72
Jawa Tengah,Purworejo,2021,376127.0,95.33,73.06,709.0,13573.47,10275.0,,79.81,13.51,74.87
Jawa Tengah,Purworejo,2022,393731.0,95.59,73.67,752.0,14300.56,10671.0,11.53,80.21,8.32,75.03
Jawa Tengah,Purworejo,2023,427622.0,95.34,74.35,762.0,15025.91,11110.0,11.33,81.43,8.46,75.21
Jawa Tengah,Purworejo,2024,459253.0,95.11,75.16,768.0,15745.98,11584.0,10.87,84.64,8.65,75.51
Jawa Tengah,Rembang,2020,403932.0,87.0,70.02,727.0,13409.63,10328.0,,92.68,,74.55
Jawa Tengah,Rembang,2021,414977.0,87.32,70.43,730.0,13925.52,10519.0,,89.94,,74.61
Jawa Tengah,Rembang,2022,441482.0,87.6,71.0,642.0,14698.84,10937.0,14.65,92.92,7.41,74.68
Jawa Tengah,Rembang,2023,477514.0,87.68,71.89,636.0,15463.55,11399.0,14.17,95.44,7.72,74.77
Jawa Tengah,Rembang,2024,518607.0,88.03,72.53,641.0,16248.58,11830.0,,94.89,7.73,74.97
Jawa Tengah,Semarang,2020,404455.0,96.38,74.1,1108.0,34688.04,11966.0,7.51,89.53,12.97,75.73
Jawa Tengah,Semarang,2021,416395.0,96.61,74.24,1115.0,35948.86,12070.0,7.82,91.01,12.98,75.79
Jawa Tengah,Semarang,2022,459151.0,96.6,74.67,1128.0,37857.92,12448.0,7.27,85.91,,75.86
Jawa Tengah,Semarang,2023,498952.0,96.64,75.13,1137.0,39651.89,12943.0,7.17,85.5,,75.95
Jawa Tengah,Semarang,2024,520639.0,96.74,75.67,1147.0,41529.4,13377.0,6.96,96.62,8.16,76.14
Jawa Tengah,Sragen,2020,348890.0,91.62,73.95,1038.0,26367.26,12589.0,13.38,93.27,12.83,75.71
Jawa Tengah,Sragen,2021,363349.0,91.68,74.08,1045.0,27355.15,12679.0,13.83,89.89,12.84,75.79
Jawa Tengah,Sragen,2022,389265.0,92.24,74.65,1048.0,28929.81,13052.0,12.94,93.08,7.79,75.87
Jawa Tengah,Sragen,2023,426482.0,92.49,75.1,1003.0,30442.19,13439.0,12.87,95.3,7.87,75.97
Jawa Tengah,Sragen,2024,453663.0,92.62,75.53,1010.0,32084.08,13890.0,12.41,96.03,7.88,76.18
Jawa Tengah,Sukoharjo,2020,393776.0,96.49,76.98,1856.0,26616.5,11325.0,7.68,96.64,13.83,77.65
Jawa Tengah,Sukoharjo,2021,410273.0,96.52,77.13,1864.0,27634.12,11428.0,8.23,94.27,13.84,77.73
Jawa Tengah,Sukoharjo,2022,434318.0,96.96,77.94,1964.0,29185.35,11841.0,7.61,96.14,9.62,77.82
Jawa Tengah,Sukoharjo,2023,476675.0,97.37,78.65,1999.0,30662.65,12319.0,7.58,95.68,9.84,77.86
Jawa Tengah,Sukoharjo,2024,501693.0,98.08,79.3,2018.0,32187.41,12758.0,7.47,97.08,,78.01
Jawa Tengah,Tegal,2020,390520.0,86.79,69.28,1823.0,24492.62,9612.0,8.14,81.52,12.67,71.6
Jawa Tengah,Tegal,2021,404655.0,87.53,69.67,1836.0,25401.91,9700.0,,84.23,12.89,71.72
Jawa Tengah,Tegal,2022,434638.0,88.22,70.42,1846.0,26705.27,10020.0,,85.82,7.25,71.85
Jawa Tengah,Tegal,2023,470728.0,88.64,71.12,1682.0,28022.85,10537.0,,85.87,7.34,72.0
Jawa Tengah,Tegal,2024,497315.0,88.85,71.7,1702.0,29444.38,10972.0,6.81,85.27,7.36,72.16
Jawa Tengah,Temanggung,2020,323705.0,95.31,69.57,943.0,14890.76,9343.0,9.96,68.99,12.14,75.58
Jawa Tengah,Temanggung,2021,336034.0,95.74,69.88,948.0,15387.93,9408.0,10.17,68.05,12.32,75.64
Jawa Tengah,Temanggung,2022,354012.0,95.99,70.77,919.0,16187.37,9773.0,9.33,75.3,7.41,75.7
Jawa Tengah,Temanggung,2023,388369.0,96.19,71.33,929.0,16998.53,10108.0,9.26,69.89,,75.77
Jawa Tengah,Temanggung,2024,416086.0,96.27,71.86,936.0,17855.6,10519.0,8.67,71.77,7.53,75.95
Jawa Tengah,Wonogiri,2020,341643.0,91.08,70.25,582.0,20563.14,9286.0,10.86,94.47,12.49,76.16
Jawa Tengah,Wonogiri,2021,356728.0,91.07,70.49,585.0,21251.17,9429.0,11.55,92.97,,76.28
Jawa Tengah,Wonogiri,2022,376763.0,91.73,71.04,580.0,22448.63,9780.0,10.99,94.62,7.42,76.41
Jawa Tengah,Wonogiri,2023,414901.0,92.11,71.97,586.0,23566.88,10283.0,10.94,96.12,7.67,76.56
Jawa Tengah,Wonogiri,2024,443563.0,92.38,72.54,588.0,24728.69,10634.0,10.71,96.25,7.68,76.84
Jawa Tengah,Wonosobo,2020,362683.0,92.75,69.04,896.0,13566.18,10621.0,17.36,48.18,11.75,71.82
Jawa Tengah,Wonosobo,2021,373474.0,92.78,69.24,903.0,14064.76,10760.0,17.67,53.27,11.76,71.94
Jawa Tengah,Wonosobo,2022,399180.0,92.65,69.69,910.0,14770.5,11108.0,16.17,55.3,6.88,72.05
Jawa Tengah,Wonosobo,2023,425105.0,92.95,70.18,924.0,15405.98,11577.0,15.58,58.14,6.89,72.17
Jawa Tengah,Wonosobo,2024,456351.0,93.02,70.63,935.0,16109.38,11980.0,15.28,63.81,,72.4
Jawa Timur,Bangkalan,2020,418908.0,86.88,65.17,1059.0,17514.6,8610.0,20.56,56.18,5.95,70.18
Jawa Timur,Bangkalan,2021,432046.0,86.95,65.42,1070.0,17152.8,8673.0,21.57,39.44,5.96,70.22
Jawa Timur,Bangkalan,2022,458754.0,87.35,66.11,835.0,16959.9,8971.0,19.44,53.48,5.97,70.54
Jawa Timur,Bangkalan,2023,503207.0,87.56,66.82,839.0,17164.2,9438.0,19.35,50.3,5.99,70.79
Jawa Timur,Bangkalan,2024,547017.0,87.81,67.33,847.0,17497.5,9841.0,18.66,50.11,,70.96
Jawa Timur,Banyuwangi,2020,373679.0,86.66,71.85,295.0,53295.1,12140.0,,77.44,7.16,70.65
Jawa Timur,Banyuwangi,2021,387084.0,86.96,72.62,297.0,55472.6,12217.0,,81.15,7.42,70.72
Jawa Timur,Banyuwangi,2022,414879.0,87.26,73.15,482.0,57932.6,12320.0,7.51,78.07,7.66,71.06
Jawa Timur,Banyuwangi,2023,448928.0,87.5,73.79,485.0,60848.4,12820.0,7.34,82.63,7.76,71.38
Jawa Timur,Banyuwangi,2024,470713.0,87.57,74.3,488.0,63693.6,13320.0,6.54,86.12,7.78,71.57
Jawa Timur,Blitar,2020,325675.0,92.7,71.02,916.0,24945.5,10654.0,9.33,80.36,7.39,73.52
Jawa Timur,Blitar,2021,335573.0,92.76,71.48,921.0,25700.0,10757.0,9.65,75.67,,73.61
Jawa Timur,Blitar,2022,355511.0,93.22,72.25,711.0,27037.3,11001.0,8.71,80.11,7.82,73.98
Jawa Timur,Blitar,2023,387733.0,93.4,72.84,718.0,28239.9,11499.0,8.69,82.5,7.83,74.34
Jawa Timur,Blitar,2024,408399.0,93.65,73.44,724.0,29493.8,12020.0,8.16,96.34,7.87,74.54
Jawa Timur,Bojonegoro,2020,362383.0,90.17,70.18,592.0,69703.4,10121.0,12.87,89.02,7.33,71.56
Jawa Timur,Bojonegoro,2021,380653.0,90.21,70.7,595.0,65839.5,10221.0,13.27,90.96,7.38,71.72
Jawa Timur,Bojonegoro,2022,403403.0,90.63,71.15,569.0,61782.9,10323.0,12.21,91.01,7.43,72.16
Jawa Timur,Bojonegoro,2023,435936.0,90.87,71.8,571.0,63310.7,10776.0,12.18,92.63,7.45,72.57
Jawa Timur,Bojonegoro,2024,471457.0,91.44,72.75,573.0,64367.4,11204.0,11.69,96.43,7.59,72.76
Jawa Timur,Bondowoso,2020,408352.0,90.68,69.1,509.0,13451.8,10610.0,14.17,44.07,5.93,66.74
Jawa Timur,Bondowoso,2021,423150.0,90.75,69.24,510.0,13921.7,10690.0,14.73,52.82,5.94,66.89
Jawa Timur,Bondowoso,2022,449760.0,91.1,69.91,503.0,14410.2,10851.0,13.47,51.64,6.22,67.29
Jawa Timur,Bondowoso,2023,494000.0,91.17,70.56,507.0,15075.6,11255.0,13.34,57.41,6.36,67.6
Jawa Timur,Bondowoso,2024,517741.0,91.22,71.22,510.0,15809.3,11689.0,,62.7,6.53,67.76
Jawa Timur,Gresik,2020,492628.0,89.93,76.59,1101.0,97616.6,13246.0,,96.9,,72.66
Jawa Timur,Gresik,2021,505499.0,90.2,76.98,1109.0,101318.7,13280.0,12.42,91.56,9.56,72.67
Jawa Timur,Gresik,2022,536544.0,90.78,77.62,1061.0,108796.9,13384.0,,90.29,9.75,72.99
Jawa Timur,Gresik,2023,588316.0,91.01,78.44,1075.0,113825.4,13870.0,10.96,95.0,,73.3
Jawa Timur,Gresik,2024,608828.0,91.25,78.93,1086.0,119274.4,14356.0,10.32,93.22,,73.5
Jawa Timur,Jember,2020,365295.0,84.66,69.01,820.0,52586.6,9294.0,,65.83,6.48,69.15
Jawa Timur,Jember,2021,380397.0,84.82,69.2,825.0,54688.7,9410.0,10.41,64.17,6.49,69.28
Jawa Timur,Jember,2022,400961.0,85.31,69.8,775.0,57167.1,9840.0,9.39,65.95,,69.68
Jawa Timur,Jember,2023,441171.0,85.52,70.42,781.0,59984.0,10277.0,9.51,64.47,6.52,70.03
Jawa Timur,Jember,2024,459043.0,85.79,70.93,786.0,62897.2,10700.0,,87.45,6.54,70.2
Jawa Timur,Jombang,2020,410116.0,90.15,73.63,1182.0,27657.6,11261.0,9.94,88.98,8.54,72.4
Jawa Timur,Jombang,2021,421172.0,90.23,74.1,1189.0,28553.5,11394.0,10.0,90.95,8.55,72.49
Jawa Timur,Jombang,2022,448830.0,90.51,74.66,1204.0,30086.2,11579.0,,93.67,8.76,72.86
Jawa Timur,Jombang,2023,488754.0,90.65,75.16,1218.0,31602.8,11999.0,9.15,94.06,8.77,73.22
Jawa Timur,Jombang,2024,514170.0,90.83,75.67,1228.0,33230.5,12454.0,,93.25,8.78,73.42
Jawa Timur,Kediri,2020,324215.0,93.07,72.8,1180.0,28491.0,11000.0,,83.59,,72.61
Jawa Timur,Kediri,2021,335990.0,92.9,73.31,1186.0,29361.7,11127.0,11.64,86.92,,72.65
Jawa Timur,Kediri,2022,353033.0,92.85,74.2,1087.0,30800.7,11565.0,10.65,88.68,8.23,72.97
Jawa Timur,Kediri,2023,385874.0,93.25,74.68,1101.0,32195.5,11952.0,10.72,92.13,8.24,73.27
Jawa Timur,Kediri,2024,403621.0,93.41,75.18,1109.0,33787.6,12388.0,9.95,94.94,8.26,73.47
Jawa Timur,Kota Batu,2020,509886.0,89.72,76.82,1558.0,11025.8,12824.0,3.89,93.2,,72.61
Jawa Timur,Kota Batu,2021,522819.0,89.89,77.21,1570.0,11471.4,12887.0,,95.57,9.31,72.65
Jawa Timur,Kota Batu,2022,564010.0,90.1,78.13,1116.0,12180.9,13094.0,3.79,94.37,9.63,72.97
Jawa Timur,Kota Batu,2023,613985.0,90.54,79.07,1134.0,12936.6,13603.0,3.31,95.06,9.85,73.29
Jawa Timur,Kota Batu,2024,642778.0,90.86,79.69,1147.0,13588.1,14253.0,,95.16,9.87,73.49
Jawa Timur,Kota Blitar,2020,465868.0,97.46,78.88,4579.0,,13733.0,7.78,96.67,,73.75
Jawa Timur,Kota Blitar,2021,481229.0,97.36,79.27,4617.0,,13816.0,7.89,96.77,10.35,73.86
Jawa Timur,Kota Blitar,2022,517363.0,97.37,80.15,4577.0,,14058.0,7.37,95.91,10.65,74.26
Jawa Timur,Kota Blitar,2023,568280.0,97.49,80.78,4619.0,,14548.0,,96.22,10.78,74.66
Jawa Timur,Kota Blitar,2024,596105.0,97.49,81.44,4664.0,,14933.0,6.75,95.93,10.82,74.86
Jawa Timur,Kota Kediri,2020,493438.0,94.39,78.78,4524.0,84375.0,12239.0,7.69,95.4,9.93,74.02
Jawa Timur,Kota Kediri,2021,506936.0,94.21,79.15,4542.0,86485.6,12359.0,7.75,95.75,10.15,74.04
Jawa Timur,Kota Kediri,2022,537326.0,94.53,80.12,4305.0,89907.2,12762.0,7.23,95.87,10.45,74.34
Jawa Timur,Kota Kediri,2023,587723.0,94.58,80.97,4391.0,91631.4,13276.0,7.15,96.41,10.69,74.67
Jawa Timur,Kota Kediri,2024,621051.0,94.78,81.88,4436.0,94774.1,13670.0,6.51,95.39,10.92,74.87
Jawa Timur,Kota Madiun,2020,497628.0,94.38,81.93,5754.0,10055.9,16018.0,4.98,98.71,11.14,72.81
Jawa Timur,Kota Madiun,2021,514409.0,94.42,82.27,5805.0,10537.7,16095.0,,97.31,11.37,72.83
Jawa Timur,Kota Madiun,2022,551620.0,94.57,83.02,5514.0,11119.6,16503.0,4.76,95.38,11.67,73.13
Jawa Timur,Kota Madiun,2023,605131.0,95.18,83.71,5536.0,11764.4,17115.0,4.74,98.18,11.82,73.44
Jawa Timur,Kota Madiun,2024,637838.0,95.26,84.51,5585.0,12438.9,17518.0,4.38,97.96,,73.65
Jawa Timur,Kota Malang,2020,554791.0,94.97,82.19,5808.0,51154.5,16593.0,4.44,83.25,10.18,73.27
Jawa Timur,Kota Malang,2021,570238.0,95.24,82.77,5816.0,53309.7,16663.0,4.62,87.08,10.41,73.36
Jawa Timur,Kota Malang,2022,609612.0,95.54,83.38,7617.0,56678.6,16897.0,4.37,82.61,10.69,73.75
Jawa Timur,Kota Malang,2023,674660.0,95.67,84.0,7790.0,60119.8,17222.0,4.26,86.36,10.94,74.13
Jawa Timur,Kota Malang,2024,706341.0,95.9,84.68,7857.0,63373.3,17791.0,3.91,95.7,11.14,74.33
Jawa Timur,Kota Mojokerto,2020,482016.0,93.26,78.95,6553.0,,13499.0,6.24,94.48,10.25,73.32
Jawa Timur,Kota Mojokerto,2021,493452.0,93.47,79.34,6594.0,,13610.0,6.39,95.49,10.47,73.39
Jawa Timur,Kota Mojokerto,2022,531804.0,93.63,80.19,6645.0,5253.0,14054.0,5.98,95.59,,73.74
Jawa Timur,Kota Mojokerto,2023,581006.0,93.89,80.9,6732.0,,14422.0,5.77,96.48,,74.1
Jawa Timur,Kota Mojokerto,2024,610968.0,94.02,81.76,6796.0,,14842.0,5.57,94.62,11.38,74.29
Jawa Timur,Kota Pasuruan,2020,441531.0,96.16,76.47,5894.0,,13281.0,6.66,90.02,,71.52
Jawa Timur,Kota Pasuruan,2021,461624.0,96.27,76.83,5937.0,,13354.0,6.88,92.1,9.33,71.6
Jawa Timur,Kota Pasuruan,2022,486893.0,96.74,77.71,5424.0,,13803.0,6.37,89.32,9.67,71.96
Jawa Timur,Kota Pasuruan,2023,529512.0,96.81,78.3,5549.0,,14250.0,,91.73,9.78,72.31
Jawa Timur,Kota Pasuruan,2024,554195.0,96.99,78.9,5626.0,,14664.0,6.32,91.97,9.94,72.5
Jawa Timur,Kota Probolinggo,2020,524528.0,95.87,74.81,4229.0,,12180.0,7.43,88.45,,70.29
Jawa Timur,Kota Probolinggo,2021,545955.0,96.01,75.2,4256.0,,12245.0,7.44,89.77,8.95,70.35
Jawa Timur,Kota Probolinggo,2022,575195.0,96.24,76.08,4448.0,,12571.0,6.65,89.27,9.29,70.68
Jawa Timur,Kota Probolinggo,2023,628380.0,96.48,76.93,4517.0,,12999.0,6.48,88.27,9.56,70.99
Jawa Timur,Kota Probolinggo,2024,654409.0,96.58,77.79,4564.0,,13405.0,6.18,91.59,9.72,71.18
Jawa Timur,Kota Surabaya,2020,592137.0,93.58,82.76,8200.0,390936.4,17755.0,,91.84,10.49,74.18
Jawa Timur,Kota Surabaya,2021,611466.0,93.9,82.94,8217.0,407725.8,17862.0,5.23,95.2,,74.18
Jawa Timur,Kota Surabaya,2022,652540.0,94.21,83.32,8595.0,434268.3,18345.0,4.72,96.41,10.51,74.47
Jawa Timur,Kota Surabaya,2023,718370.0,94.36,83.99,8667.0,459030.7,18977.0,4.65,97.81,,74.75
Jawa Timur,Kota Surabaya,2024,742678.0,94.53,84.69,8698.0,485448.9,19666.0,3.96,96.79,10.89,74.94
Jawa Timur,Lamongan,2020,397980.0,88.59,73.44,754.0,26972.7,11456.0,13.85,92.23,7.92,72.4
Jawa Timur,Lamongan,2021,419309.0,88.99,73.97,761.0,27896.5,11510.0,13.86,89.7,,72.49
Jawa Timur,Lamongan,2022,446601.0,89.5,74.83,783.0,29447.4,11648.0,12.53,90.66,8.33,72.86
Jawa Timur,Lamongan,2023,481969.0,89.84,75.29,781.0,30709.2,12019.0,12.42,95.0,8.34,73.22
Jawa Timur,Lamongan,2024,524636.0,90.11,75.9,786.0,32186.0,12419.0,12.16,92.11,8.48,73.41
Jawa Timur,Lumajang,2020,318196.0,88.09,67.04,625.0,21933.8,9088.0,9.83,84.53,,70.1
Jawa Timur,Lumajang,2021,334906.0,88.39,67.65,629.0,22623.4,9203.0,,83.24,6.67,70.21
Jawa Timur,Lumajang,2022,352776.0,88.77,68.48,633.0,23626.6,9466.0,,77.99,6.87,70.61
Jawa Timur,Lumajang,2023,386995.0,89.06,69.37,634.0,24808.4,9720.0,8.93,77.48,7.14,70.96
Jawa Timur,Lumajang,2024,405136.0,89.43,70.31,638.0,25929.9,10124.0,8.65,82.46,7.27,71.14
Jawa Timur,Madiun,2020,364638.0,91.79,72.94,717.0,13146.1,11574.0,11.46,91.92,7.81,71.38
Jawa Timur,Madiun,2021,380287.0,91.77,73.07,723.0,13582.7,11658.0,11.91,89.09,7.82,71.5
Jawa Timur,Madiun,2022,405127.0,92.14,73.51,6668.0,14169.6,11848.0,10.79,89.4,7.94,71.9
Jawa Timur,Madiun,2023,437296.0,92.31,74.02,678.0,14895.8,12259.0,,91.99,7.95,72.28
Jawa Timur,Madiun,2024,460205.0,92.55,74.81,681.0,15593.2,12668.0,10.63,90.13,,72.47
Jawa Timur,Magetan,2020,354936.0,93.36,74.85,974.0,13020.9,11776.0,10.35,88.65,8.24,72.59
